Title	Author	Year	Country of Institution	Assessment Types	Concepts	Practices	Perspectives	Age Group	Setting
Orange: data mining toolbox in Python	Demsar	2013						Adult	
Why and What to Teach: AI Curriculum for Elementary School	Kim	2021	Korea	Knowledge Assessment, Knowledge Self-Assessment, Attitudes toward computing	Background: Humans vs AI, Background: What is AI, Big Idea #1: Computer vision, Big Idea #2: Logic systems, Big Idea #2: Sorting and search, Big Idea #3: Classification, Big Idea #3: Prediction, Big Idea #3: Machine Learning, Big Idea #3: Data and Data visualization, Big Idea #4: Chatbots, Big Idea #4: Natural Language Processing, Big Idea #5: Bias, Big Idea #5: Societal impact, Big Idea #5: Ethics	Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Programming and computational thinking, Analyzing AI Artifacts: Recognizing everyday AI, Communicating about AI: Tech/scientific communication	Critical Digital Literacy: AI can be both beneficial and harmful	Primary	Formal
Modeling the structural relationship among primary students' motivation to learn artificial intelligence	Lin	2021	China	Attitudes toward computing	Background: What is AI, Big Idea #1: Computer vision, Big Idea #3: Machine Learning	Constructing AI Artifacts: Programming and computational thinking		Primary	Formal
Developing Middle School Students' AI Literacy	Lee	2021	USA	Knowledge Assessment, attitudes toward computing	Background: What is AI, Big Idea #2: Logic Systems, Big Idea #3: Classification, Big Idea #3: Machine Learning, Big Idea #3: Generation, Big Idea #5: Bias, Big Idea #5: Societal impact	Constructing AI Artifacts: Training ml models, Constructing AI Artifacts: creating (non-ml) models, Analyzing AI Artifacts: evaluating bias in models, Analyzing AI Artifacts: identifying stakeholders/values, Analyzing AI Artifacts: Recognizing everyday AI, Analyzing AI Artifacts: identifying the inputs and outputs of ml systems, Analyzing AI Artifacts: Identifying ethical implications	Critical Digital Literacy: stakeholders may have different goals for AI, Critical Digital Literacy: AI systems can have both benefits and dangers, Digital Literacy: awareness of AI in future careers, Digital Literacy: awareness of AI in personal life, Identity and Social Awareness: Recognize personal strengths and interests for future jobs, Identity and Social Awareness: Exposure to expert communities	Middle	Extracurricular (workshop)
The Machine Learning Machine: A tangible user interface for teaching machine learning	Kaspersen-a	2021	Denmark	Interviews and discussion	Background: What is AI, Big Idea #3: Classification, Big Idea #5: Bias	Constructing AI Artifacts: Problem scoping, Constructing AI Artifacts: Data selection and feature selection, Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Evaluation, Analyzing AI Artifacts: Identifying ethical implications, Analyzing AI Artifacts: Evaluating bias in models	Critical digital literacy: AI Systems can have both benefits and dangers	Secondary	Laboratory
AI from concrete to abstract: demystifying artificial intelligence to the general public	Quieroz	2020						Adult	
CONVO: What does conversational programming need?	Van Brummelen	2020	USA					Adult	Laboratory
Development of Artificial Intelligence Education System for K-12 Based on 4P	Ryu	2021						Adult	
Scaffolding Design to Bridge the Gaps between Machine Learning and Scientific Discovery for K-12 STEM Education	Zhou	2021						Adult	
Analyzing teacher competency with TPACK for K-12 AI education	Kim	2021						Adult	
Exploring Teachers' Preconceptions of Teaching Machine Learning in High School: A preliminary Insight from Africa	Sanusi	2021	Finland					Adult	
Changes in Middle School Teachers’ Thinking after Engaging in Professional Development Emphasizing Computer Vision	Kurz	2021	USA					Adult	
Contextualizing AI Education for K-12 Students to Enhance Their Learning of AI Literacy Through Culturally Responsive Approaches	Eguchi	2021	Japan					Middle	
Neural Network Construction Practices in Elementary School	Shamir	2021	Israel	Knowledge Assessment, Project-Based Assessment, Interviews and Discussion	Background: What is AI, Big Idea #3: Machine Learning, Big Idea #3: Classification, Interdisciplinary: Ecosystems	Constructing AI Artifacts: Programming and Computational thinking, Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Validating ML models, Constructing AI Artifacts: Testing or evaluating ML models		Primary	Extracurricular
Text Classification for AI Education	Reddy	2021	USA					Middle	Extracurricular (workshop)
The Contour to Classification Game	Lee	2021	USA		Big Idea #3: Classification			Middle	Extracurricular (workshop)
Tools to create and democratize conversational artificial intelligence	Van Brummelen-c	2019	USA	Project-Based assessment, Knowledge assessment, knowledge self-assessment, knowledge transfer and application	Big Idea #4: Chatbots, Big Idea #3: Natural Language Processing, Big Idea #4: Natural Language Processing, Big Idea #3: Machine Learning, Big Idea #3: Classification, Big Idea #3: Generation, Big Idea #3: Prediction, Big Idea #3: Data And Data Visualization	Analyzing AI Artifacts: Recognizing everyday AI, Constructing AI Artifacts: Creating (non-ML) models, Constructing AI Artifacts: Programming and computational thinking, Constructing AI Artifacts: implementation, Constructing AI Artifacts: Creating user interfaces, Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Testing or evaluating ML models	Digital Literacy: Awareness of AI in personal life, Critical Digital Literacy: AI systems make mistakes, Digital Literacy: AI Systems Are Built On Human Input, Identity and Social Awareness: belief in one's capability	Secondary	Classroom
Turi: Chatbot software for schools in the Turing Centenary	Keegan	2012			Big Idea #4: Chatbots, Background: What Is Ai, Background: Humans Vs. Ai	Constructing AI Artifacts: Programming and Computational thinking		Middle, Secondary	Extracurricular (Workshop)
Empowering novices to understand and use machine learning with personalized image classification models, intuitive analysis tools, and MIT App Inventor	Tang	2019	USA	Knowledge assessment, knowledge self-assessment, Student course feedback	Big Idea #3: Machine Learning	Constructing AI Artifacts: Creating user interfaces, Constructing AI Artifacts: training ML models, Constructing AI Artifacts: testing or evaluating ML models		Secondary	Laboratory
An Educational Approach to Machine Learning with Mobile Applications	Zhu	2019	USA	Knowledge self-assessment, Student course feedback	Big Idea #3: Machine Learning, Big Idea #1: Computer Vision, Big Idea #3: Natural Language Processing, Big Idea #4: Natural Language Processing	Constructing AI Artifacts: Creating (non-ML) models, Constructing AI Artifacts: Training ML Models, Constructing AI Artifacts: Testing or evaluating ML models		Secondary	Extracurricular (workshop)
AI-Infused Collaborative Inquiry in Upper Elementary School: A Game-Based Learning Approach	Lee	2021	USA					Primary	
How do Elementary Students Conceptualize Artificial Intelligence?	Ottenbreit-Leftwich	2021	USA					Primary	
An action research report from a multi-year approach to teaching artificial intelligence at the k-6 level	Heinze	2010			Big Idea #1: Sensors And Perception, Background: What Is Ai, Background: History Of Ai, Background: Humans Vs. Ai	Constructing AI Artifacts: Scientific method, Constructing AI Artifacts: Prototyping, Constructing AI Artifacts: Programming and Computational thinking		Primary	Classroom
VotestratesML: A High School Learning Tool for Exploring Machine Learning and its Societal Implications	Kaspersen-b	2021	Denmark	Classroom Observation	Background: What is AI, Big Idea #3: Prediction, Big Idea #5: Societal Impact	Constructing AI Artifacts: Training ML models, Constructing AI Artifacts: Testing or evaluation ML models, Constructing AI Artifacts: Collaborating, Constructing AI Artifacts: Validating ML models, Constructing AI Artifacts: data selection and feature selection, Analyzing AI Artifacts: Identifying ethical implications	Critical digital literacy: Ai Can Be Both Beneficial And Harmful	Secondary	Formal
CoDesigning Machine Learning Apps in K-12 With Primary School Children	Toivonen	2020			Background: What is AI			Primary	Classroom
The 4As: Ask, Adapt, Author, Analyze-AI Literacy Framework for Families	Druga	2020	USA					Primary, Adult	Laboratory
